name lat lon begin end
0HSA 62.1082 16.711700000000008 2007-08-29 2024-08-24
0HST 58.3502 11.84020000000001 2012-12-13 2024-08-24
0HSU 60.3942 17.010400000000004 2015-04-09 2024-08-24
0HUD 61.7252 17.139700000000005 2007-09-27 2024-08-24
0HUS 63.3299 19.164800000000014 2012-10-23 2016-05-22
0HVI 57.7029 11.737400000000008 2020-08-03 2024-08-24
0HYB 61.7954 16.2089 2005-12-02 2024-08-24
0IDR 61.8578 12.713300000000004 2015-04-10 2020-08-17
0JAK 66.3875 16.965900000000005 2009-06-25 2024-08-24
0JAM 56.1884 15.827799999999996 2015-04-09 2024-08-24
0JAR 63.3528 13.449099999999987 2007-08-23 2024-08-24
0JAT 61.9745 17.257000000000005 2013-11-22 2024-08-24
0JAV 65.156 21.486099999999993 2006-06-15 2024-08-24
0JFA 59.4242 17.834399999999988 2017-02-28 2024-08-24
0JNA 58.7432 16.73490000000001 2015-04-15 2024-08-24
0JOK 66.605 19.832400000000007 2007-06-11 2024-08-24
0JON 57.7455 14.059599999999989 1994-01-22 2024-08-24
0JOR 65.0557 20.043299999999988 2016-03-16 2024-08-24
0JRN 59.0838 17.556899999999985 2015-04-09 2017-07-17
0JTP 56.2297 12.676199999999994 2007-03-23 2024-08-24
0JUN 63.6947 16.888000000000005 2007-09-11 2024-08-24
0JUO 67.4305 22.500799999999998 2009-05-30 2024-08-24
0KAB 66.1488 19.98920000000001 2007-06-10 2024-08-24
0KAL 58.6636 13.192499999999995 2002-10-25 2024-08-24
0KAR 59.444 13.505599999999987 1994-01-22 2024-08-24
0KAS 63.7013 12.9589 2008-01-10 2024-08-24
0KAT 57.4265 18.837700000000012 2006-04-25 2024-08-24
0KBO 58.5306 14.511300000000006 2012-01-18 2024-08-24
0KEB 67.868 18.62270000000001 2017-08-30 2024-07-28
0KER 65.8519 23.8896 2008-10-09 2015-12-01
0KIC 67.8599 20.235000000000014 2009-01-07 2024-08-24
0KIE 67.8471 20.380200000000002 2009-01-07 2024-08-24
0KIR 67.8776 21.06020000000001 1994-01-22 2024-08-24
0KIS 67.8133 20.19399999999999 2009-03-02 2013-11-06
0KIV 67.7942 20.22919999999999 2013-03-25 2024-08-24
0KLI 57.3864 18.211900000000014 2006-04-25 2024-08-24
0KNA 56.5216 13.318399999999997 2002-09-09 2024-08-24
0KNI 59.724 17.794600000000003 2023-02-01 2024-06-26
0KOB 60.4096 18.230199999999996 2018-10-12 2020-03-02
0KOL 59.5942 15.854099999999988 2011-11-28 2024-08-24
0KOP 59.7165 12.161100000000005 2018-06-12 2024-08-24
0KOR 66.8479 23.055499999999995 2008-12-19 2024-08-24
0KOT 57.7622 12.037700000000001 2010-12-15 2024-08-24
0KOV 56.881 16.724500000000006 2012-11-22 2024-08-24
0KRA 62.8755 17.927700000000016 2006-03-10 2024-08-24
0KRB 61.9827 15.314899999999994 2015-04-09 2024-08-24
0KRE 58.6738 16.338099999999997 2015-04-15 2024-08-24
0KRI 56.0313 14.182600000000008 2011-01-20 2024-08-24
0KRO 57.6802 11.984499999999997 2012-06-26 2024-08-24
0KST 56.8413 15.3947 2013-03-01 2024-08-24
0KTH 59.3499 18.0694 2014-02-12 2024-08-24
0KUM 59.1328 15.139700000000005 2013-12-07 2024-08-24
0KUN 56.1042 15.588999999999999 2004-09-29 2024-08-24
0KVI 66.9425 17.739100000000008 2010-02-16 2024-08-24
0LAD 55.8703 12.84190000000001 2018-11-06 2021-11-16
0LAJ 66.6552 22.191900000000004 2009-06-02 2024-08-24
0LAK 66.2785 21.12870000000001 2010-10-11 2024-08-24
0LAN 60.4576 16.029499999999985 2005-11-10 2024-08-24
0LAR 59.2716 12.655900000000003 2014-03-27 2024-08-24
0LAS 58.9024 17.313299999999998 2015-04-18 2024-08-24
0LAT 65.3825 20.339100000000002 2006-07-17 2008-08-28
0LBH 56.0781 13.242999999999995 2011-02-10 2024-08-24
0LDA 62.8507 12.790899999999993 2019-04-05 2024-08-24
0LDE 58.0257 12.173000000000002 2009-09-25 2014-06-04
0LED 58.114 12.140600000000006 2009-09-25 2024-08-24
0LEK 60.7221 14.87700000000001 1994-01-22 2024-08-24
0LEN 59.3198 11.915600000000012 2005-12-09 2024-08-24
0LFT 57.9057 16.698700000000002 2013-02-28 2024-08-24
0LHE 58.4374 15.796400000000006 2015-04-18 2024-08-24
0LIC 58.4168 15.626499999999993 2015-05-19 2024-08-24
0LID 62.697 16.79679999999999 2007-08-16 2011-01-27
0LIE 62.1575 13.891300000000001 2015-04-09 2024-08-24
0LIH 56.8298 13.44919999999999 2011-10-21 2024-08-24
0LIL 61.8533 14.0668 2015-04-09 2024-08-24
0LIN 60.328 14.53139999999999 2006-04-08 2022-12-25
0LIO 59.3657 18.126900000000006 2018-04-16 2024-08-24
0LKA 67.8516 20.195300000000003 2010-11-25 2019-01-24
0LKO 58.5021 13.128899999999987 2018-04-03 2024-08-24
0LNC 57.6838 12.209699999999998 2017-01-26 2024-08-24
0LND 57.6661 12.296699999999987 2017-12-07 2024-08-24
0LOB 55.7783 13.514900000000011 2019-12-23 2024-08-24
0LOD 55.7669 12.995800000000003 2002-09-09 2024-08-24
0LOF 62.1321 13.275499999999994 2005-11-17 2024-08-24
0LSE 63.1834 17.065300000000008 2007-08-28 2024-08-24
0LUG 58.6421 13.692599999999999 2011-09-27 2017-05-28
0LUL 65.5553 22.215300000000013 2006-05-19 2024-08-24
0LUM 60.7097 16.250799999999998 2016-03-10 2024-08-24
0LVA 64.3711 21.313199999999995 2019-07-03 2024-08-24
0LYC 64.5859 18.703100000000006 2006-06-22 2010-01-03
0MAK 56.4573 13.59190000000001 2021-03-12 2024-08-24
0MAL 55.6012 13.029799999999994 1999-06-22 2002-06-16
0MAN 57.6623 14.0762 2019-07-04 2024-08-24
0MAT 62.366 16.979299999999995 2015-11-30 2024-08-24
0MBT 57.8893 12.032100000000014 2006-03-16 2014-05-29
0MED 64.7383 20.6738 2015-04-10 2024-08-24
0MGV 59.9314 16.953599999999994 2012-11-23 2024-08-24
0MJO 58.3248 15.125 2002-04-20 2024-08-24
0MKO 59.5986 13.725999999999999 2015-04-09 2024-08-24
0MLA 65.1881 18.7586 2006-06-28 2024-08-24
0MLE 56.2819 12.499099999999999 2018-09-13 2024-08-24
0MLK 59.1364 16.7209 2011-12-06 2024-08-24
0MLL 58.7032 12.455299999999994 2013-04-24 2024-08-24
0MLM 67.1941 20.698000000000008 2009-10-13 2024-08-24
0MLU 60.6864 13.725500000000011 2005-12-02 2024-08-24
0MLY 57.6603 12.1147 2011-02-17 2024-08-24
0MOA 57.0446 16.438600000000008 2013-02-14 2024-08-24
0MOB 56.5266 16.37870000000001 2016-10-11 2024-08-24
0MOC 60.5087 14.966800000000006 2016-05-30 2024-08-24
0MOL 58.0778 11.483599999999996 2015-04-09 2021-05-09
0MOR 61.012 14.564300000000003 2012-03-31 2024-08-24
0MOS 59.3184 18.07419999999999 2013-07-12 2024-08-24
0MRF 59.2614 17.224999999999994 2002-04-21 2009-06-16
0MRJ 66.0691 22.70179999999999 2015-04-09 2024-08-24
0MRS 59.6259 17.85990000000001 2010-07-16 2024-08-24
0MSE 65.875 19.457600000000014 2015-04-09 2024-08-24
0MUF 59.8345 13.542200000000008 2018-06-02 2024-08-24
0MUN 56.2563 12.916599999999988 2018-02-28 2024-08-24
0NAS 57.6563 14.697699999999998 2011-10-04 2024-08-24
0NAT 66.7566 20.955100000000016 2009-06-09 2024-08-24
0NBA 64.7154 17.678699999999992 2008-01-15 2024-08-24
0NBG 60.0625 15.92070000000001 2002-04-21 2024-08-24
